,dataset,model,correct,correct_local,correct_domain,leak_rate,reject_rate,leak_rate_wo_reject
0,all,EleutherAI-pythia-1.4b:step100000-num3333-min200,1.1,7.51,7.29,5.3,0.0,5.3
1,all,EleutherAI-pythia-1.4b:step10000-num3333-min200,0.33,4.87,4.98,3.4,0.0,3.4
2,all,EleutherAI-pythia-1.4b:step1000-num3333-min200,0.0,0.22,3.17,1.13,0.0,1.13
3,all,EleutherAI-pythia-1.4b:step20000-num3333-min200,0.22,5.86,5.52,3.87,0.0,3.87
4,all,EleutherAI-pythia-1.4b:step40000-num3333-min200,0.33,5.88,5.43,3.88,0.0,3.88
5,all,EleutherAI-pythia-1.4b:step60000-num3333-min200,0.67,6.76,5.76,4.4,0.0,4.4
6,all,EleutherAI-pythia-1.4b:step80000-num3333-min200,0.55,6.5,7.39,4.81,0.0,4.81
7,all,EleutherAI-pythia-1.4b-num3333-min200,1.32,4.92,13.2,6.48,0.0,6.48
8,all,EleutherAI-pythia-12b:step100000-num3333-min200,6.35,13.47,12.81,10.88,0.0,10.88
9,all,EleutherAI-pythia-12b:step10000-num3333-min200,0.66,5.98,6.09,4.25,0.0,4.25
10,all,EleutherAI-pythia-12b:step1000-num3333-min200,0.0,0.33,3.06,1.13,0.0,1.13
11,all,EleutherAI-pythia-12b:step20000-num3333-min200,0.67,6.96,8.19,5.27,0.0,5.27
12,all,EleutherAI-pythia-12b:step40000-num3333-min200,1.78,9.11,7.33,6.07,0.0,6.07
13,all,EleutherAI-pythia-12b:step60000-num3333-min200,3.69,10.5,10.39,8.19,0.0,8.19
14,all,EleutherAI-pythia-12b:step80000-num3333-min200,4.79,13.92,11.47,10.06,0.0,10.06
15,all,EleutherAI-pythia-12b-num3333-min200,6.54,10.38,18.39,11.77,0.0,11.77
16,all,EleutherAI-pythia-14m-num3333-min200,0.0,0.24,8.22,2.82,0.0,2.82
17,all,EleutherAI-pythia-160m-num3333-min200,0.03,1.8,9.06,3.63,0.0,3.63
18,all,EleutherAI-pythia-1b:step1000-num3333-min200,0.0,0.0,0.0,0.0,0.0,0.0
19,all,EleutherAI-pythia-1b-num3333-min200,1.05,4.38,12.3,5.91,0.0,5.91
20,all,EleutherAI-pythia-2.8b:step100000-num3333-min200,2.01,9.73,8.5,6.75,0.0,6.75
21,all,EleutherAI-pythia-2.8b:step10000-num3333-min200,0.55,6.04,6.48,4.35,0.0,4.35
22,all,EleutherAI-pythia-2.8b:step1000-num3333-min200,0.0,0.22,3.17,1.13,0.0,1.13
23,all,EleutherAI-pythia-2.8b:step20000-num3333-min200,0.45,6.68,6.12,4.42,0.0,4.42
24,all,EleutherAI-pythia-2.8b:step40000-num3333-min200,0.89,8.91,6.68,5.49,0.0,5.49
25,all,EleutherAI-pythia-2.8b:step60000-num3333-min200,0.88,8.37,7.82,5.69,0.0,5.69
26,all,EleutherAI-pythia-2.8b:step80000-num3333-min200,1.8,9.45,9.22,6.82,0.0,6.82
27,all,EleutherAI-pythia-2.8b-num3333-min200,2.58,6.36,14.73,7.89,0.0,7.89
28,all,EleutherAI-pythia-31m-num3333-min200,0.0,0.6,8.22,2.94,0.0,2.94
29,all,EleutherAI-pythia-410m-num3333-min200,0.57,4.2,11.04,5.27,0.0,5.27
30,all,EleutherAI-pythia-6.9b:step1000-num3333-min200,0.0,0.0,0.0,0.0,0.0,0.0
31,all,EleutherAI-pythia-6.9b-num3333-min200,4.68,8.25,17.25,10.06,0.0,10.06
32,all,EleutherAI-pythia-70m-num3333-min200,0.0,0.96,8.37,3.11,0.0,3.11
